Battery,Fast_charge,Price.DE.,Range,Top_speed,CO2_savings_total
66.5,490.0,67264.284789644,340,160,23.8
61.7,560.0,46990.0,320,200,22.4
62.0,490.0,48990.0,315,180,22.05
64.0,480.0,57490.0,320,160,22.4
108.4,950.0,57833.3444159492,635,210,44.45
106.5,630.0,69950.0,530,205,37.1
79.0,600.0,53000.0,405,180,28.35
94.0,740.0,60970.0,530,200,37.1
77.0,720.0,51150.0,485,180,33.95
81.2,630.0,99500.0,425,230,29.75
85.0,1030.0,57833.3444159492,420,245,29.4
74.0,1050.0,55980.0,400,185,28.0
57.4,330.0,38490.0,335,185,23.45
30.0,210.0,35990.0,170,140,11.9
94.0,740.0,67264.284789644,495,180,34.65
84.0,330.0,68990.0,365,180,25.55
39.2,210.0,36400.0,245,155,17.15
106.5,640.0,57000.0,535,200,37.45
52.0,230.0,37840.0,310,140,21.7
96.0,780.0,72490.0,450,185,31.5
64.0,480.0,68000.0,320,160,22.4
95.0,660.0,100970.0,475,250,33.25
70.5,560.0,53514.0,415,160,29.05
74.0,1010.0,59200.0,385,185,26.95
50.8,450.0,44765.0,300,170,21.0
95.0,630.0,57833.3444159492,455,262,31.85
79.0,580.0,59950.0,390,180,27.3
54.0,720.0,43900.0,295,185,20.65
77.0,680.0,48970.0,455,180,31.85
66.5,490.0,67264.284789644,340,160,23.8
106.0,660.0,87550.0,525,200,36.75
64.7,550.0,56500.0,380,180,26.6
77.0,630.0,52950.0,420,180,29.4
64.0,520.0,50470.0,350,180,24.5
105.2,650.0,57833.3444159492,485,250,33.95
50.8,490.0,36490.0,305,150,21.35
62.0,550.0,43490.0,355,180,24.85
70.0,400.0,46990.0,365,200,25.55
59.0,240.0,41100.0,340,157,23.8
79.0,670.0,58775.0,450,205,31.5
25.0,170.0,24550.0,160,125,11.2
90.6,790.0,67264.284789644,530,210,37.1
77.0,680.0,47595.0,455,160,31.85
108.4,720.0,57833.3444159492,485,210,33.95
96.0,720.0,82380.0,415,200,29.05
60.0,530.0,47000.0,380,150,26.6
58.0,460.0,44200.0,340,160,23.8
46.3,460.0,37540.0,285,150,19.95
91.0,420.0,58500.0,480,180,33.6
112.0,840.0,57833.3444159492,665,270,46.55
66.0,420.0,47500.0,345,180,24.15
67.0,480.0,50775.0,405,205,28.35
